id,question,expected_sql,Category,Difficulty,Business Rule Tested
1,What was total GMV for Q1 2018?,"select
    sum(gmv_amount) as total_gmv
from fct_order_items
where is_completed
  and purchased_at_sao_paulo >= '2018-01-01'
  and purchased_at_sao_paulo < '2018-04-01';",Aggregation,Easy,"GMV definition: SUM(price) on completed orders only, excludes freight"
2,How many completed orders did we have in January 2018?,"select
    count(is_completed) as completed_orders
from fct_orders
where is_completed
  and purchased_at_sao_paulo >= '2018-01-01'
  and purchased_at_sao_paulo < '2018-02-01';",Aggregation,Easy,Completed order status filter (delivered + shipped + processing + invoiced + approved)
3,What was the average order value in Q4 2017?,"select
            sum(gmv_amount) / count(distinct order_id) as average_order_value
        from fct_order_items
        where is_completed
          and purchased_at_sao_paulo >= '2017-10-01'
          and purchased_at_sao_paulo < '2018-01-01';",Aggregation,Easy,"AOV = GMV / distinct order count, not item count"
4,What were the top 10 product categories by GMV in 2017?,"select
    product_category_name,
    sum(gmv_amount) as gmv
from fct_order_items
where is_completed
  and purchased_at_sao_paulo >= '2017-01-01'
  and purchased_at_sao_paulo < '2018-01-01'
group by product_category_name
order by gmv desc
limit 10;",Ranking,Easy,English category names via translation table; GMV not TOV
5,How many active sellers did we have in Q1 2018?,"select
    count(distinct seller_id) as active_sellers
from fct_order_items
where is_completed
  and purchased_at_sao_paulo >= '2018-01-01'
  and purchased_at_sao_paulo < '2018-04-01';",Aggregation,Easy,Active = at least 1 completed order in the period
6,What was the CSAT score for March 2018?,"select
            avg(case when is_positive_review then 1.0 else 0.0 end) as csat
        from fct_order_reviews
        where is_completed
          and purchased_at >= '2018-03-01'
          and purchased_at < '2018-04-01';",Ratio,Easy,"CSAT = % of reviews scoring 4 or 5, not average review score"
7,What percentage of orders were paid with boleto in 2017?,"select
            count(distinct case when payment_type = 'boleto' then order_id end)
            * 100.0
            / count(distinct order_id) as boleto_order_percentage
        from fct_order_payments
        where is_completed
          and purchased_at >= '2017-01-01'
          and purchased_at < '2018-01-01';",Ratio,Easy,Payment type distribution; completed orders
8,How many unique customers placed an order in 2018?,"select
            count(distinct customer_unique_id) as unique_customers
        from fct_orders
        where is_completed
          and purchased_at_sao_paulo >= '2018-01-01'
          and purchased_at_sao_paulo < '2019-01-01';",Aggregation,Easy,Must use customer_unique_id not customer_id
9,What was our best month by GMV in 2017?,"select
    date_trunc('month', purchased_at_sao_paulo) as month,
    sum(gmv_amount) as gmv
from fct_order_items
where is_completed
  and purchased_at_sao_paulo >= '2017-01-01'
  and purchased_at_sao_paulo < '2018-01-01'
group by 1
order by gmv desc
limit 1;",Ranking,Easy,GMV definition; should surface November (Black Friday)
10,How many orders were canceled in 2017?,"select
            count(*) as canceled_orders
        from fct_orders
        where is_canceled
          and purchased_at_sao_paulo >= '2017-01-01'
          and purchased_at_sao_paulo < '2018-01-01';",Filtered Query,Easy,Status spelled 'canceled' (single L) in data
11,What is the total freight customers paid in 2017?,"select
            sum(freight_amount) as total_freight
        from fct_order_items
        where is_completed
          and purchased_at_sao_paulo >= '2017-01-01'
          and purchased_at_sao_paulo < '2018-01-01';",Aggregation,Easy,SUM(freight_value); completed orders; distinct from GMV
12,What was total GMV by region for 2017?,"select
    customer_region,
    sum(gmv_amount) as gmv
from fct_order_items
where is_completed
  and purchased_at_sao_paulo >= '2017-01-01'
  and purchased_at_sao_paulo < '2018-01-01'
group by customer_region
order by gmv desc;",Aggregation,Medium,Regional grouping: states mapped to Southeast/South/Northeast/Central-West/North
13,How many new customers did we acquire each month in 2017?,"select
    date_trunc('month', first_purchased_at) as month,
    count(*) as new_customers
from dim_customers
where first_purchased_at >= '2017-01-01'
  and first_purchased_at < '2018-01-01'
group by 1
order by 1;",Time Series,Medium,New = first order by customer_unique_id falls in that month
14,What was our on-time delivery rate for Q1 2018?,"select
    avg(case when is_on_time then 1.0 else 0.0 end) as on_time_delivery_rate
from fct_orders
where is_delivered
  and purchased_at_sao_paulo >= '2018-01-01'
  and purchased_at_sao_paulo < '2018-04-01';",Ratio,Medium,On-time = delivered_customer_date <= estimated_delivery_date; delivered orders only with non-null dates
15,What was the week-over-week GMV for January 2018?,"select
    date_trunc('week', purchased_at_sao_paulo) as week_start,
    sum(gmv_amount) as gmv
from fct_order_items
where is_completed
  and purchased_at_sao_paulo >= '2018-01-01'
  and purchased_at_sao_paulo < '2018-02-01'
group by 1
order by 1;",Time Series,Medium,Week starts Monday (ISO 8601); timezone conversion to America/Sao_Paulo
16,What was the cancellation rate for the top 10 categories by order volume?,"with top_categories as (

    select
        product_category_name,
        count(distinct order_id) as order_count
    from fct_order_items
    where order_status in ('approved', 'processing', 'invoiced', 'shipped', 'delivered', 'canceled')
    group by 1
    order by order_count desc
    limit 10

)

select
    oi.product_category_name,
    count(distinct case when order_status = 'canceled' then order_id end) * 100.0
        /
    count(distinct order_id) as cancellation_rate
from fct_order_items oi
join top_categories tc
  on oi.product_category_name = tc.product_category_name
where order_status in ('approved', 'processing', 'invoiced', 'shipped', 'delivered', 'canceled')
group by 1
order by cancellation_rate desc;",Ratio,Medium,Cancel rate = canceled / (completed + canceled); exclude created and unavailable from denominator
17,What was average delivery time for intra-state versus inter-state orders in Q4 2017?,"select

    case

        when is_intra_state then 'Intra-state'

        else 'Inter-state'

    end as shipment_type,

    avg(delivery_time_days) as average_delivery_days

from fct_orders o

left join fct_order_items oi

on o.order_id = oi.order_id



where is_delivered

  and o.purchased_at_sao_paulo >= '2017-10-01' 

  and o.purchased_at_sao_paulo < '2018-01-01' 

group by 1;",Multi-metric,Medium,Intra-state = customer_state equals seller_state; delivery time in days; delivered orders only
18,What percentage of total GMV comes from the Southeast region?,"select
    sum(case when customer_region = 'Southeast' then gmv_amount else 0 end)
    * 100.0
    /
    sum(gmv_amount) as southeast_gmv_percentage
from fct_order_items
where is_completed;",Ratio,Medium,Regional grouping (SP + RJ + MG + ES = Southeast); GMV not TOV
19,Which product categories had a dissatisfaction rate above 15% with at least 50 reviews?,"select
    oi.product_category_name,
    avg(case when r.is_negative_review then 1.0 else 0.0 end) * 100 as dissatisfaction_rate,
    count(*) as review_count
from fct_order_reviews r
join fct_order_items oi
  on r.order_id = oi.order_id
where r.is_completed
group by 1
having count(*) >= 50
   and avg(case when r.is_negative_review then 1.0 else 0.0 end) > 0.15
order by dissatisfaction_rate desc;",Filtered Query,Medium,Dissatisfaction = score 1 or 2; minimum threshold for reliability
20,What was the average number of installments for credit card orders above R$500?,"with order_values as (

    select
        order_id,
        sum(gmv_amount) as order_value
    from fct_order_items
    where is_completed
    group by 1

)

select
    avg(payment_installments) as average_installments
from fct_order_payments p
join order_values o
  on p.order_id = o.order_id
where p.is_completed
  and p.payment_type = 'credit_card'
  and o.order_value > 500;",Filtered Query,Medium,Filter to credit_card payment type only; order value threshold on item price
